ID,Index1,Index2,Index3,Index4,Index5,Index6,Index7,Index8,Index9,Index10,Index11,Index12,Index13,Index14,Index15,Index16,Index17,Index18,Index19
154,-0.002404491,,,,,,,,,,,,,,,,,,
155,0.004383206,,,,,,,,,,,,,,,,,,
156,0.010606977,,,,,,,,,,,,,,,,,,
157,0.01315773,,,,,,,,,,,,,,,,,,
158,-0.000442093,,,,,,,,,,,,,,,,,,
159,0.013826955,,,,,,,,,,,,,,,,,,
160,0.02513687,,,,,,,,,,,,,,,,,,
161,0.008101202,,,,,,,,,,,,,,,,,,
162,-0.004667154,,,,,,,,,,,,,,,,,,
163,-0.007721749,,,,,,,,,,,,,,,,,,
164,0.013023479,,,,,,,,,,,,,,,,,,
165,-0.016270989,,,,,,,,,,,,,,,,,,
166,0.003398624,,,,,,,,,,,,,,,,,,
167,0.016161583,,,,,,,,,,,,,,,,,,
168,0.013595026,,,,,,,,,,,,,,,,,,
169,-0.003069368,,,,,,,,,,,,,,,,,,
170,-0.018017123,,,,,,,,,,,,,,,,,,
171,-0.000152016,,,,,,,,,,,,,,,,,,
172,-0.005719562,,,,,,,,,,,,,,,,,,
173,0.018866466,,,,,,,,,,,,,,,,,,
174,0.004232458,,,,,,,,,,,,,,,,,,
175,-0.014554641,,,,,,,,,,,,,,,,,,
176,-0.000869711,,,,,,,,,,,,,,,,,,
177,-0.006995919,,,,,,,,,,,,,,,,,,
178,-0.008034414,,,,,,,,,,,,,,,,,,
179,0.014974721,,,,,,,,,,,,,,,,,,
180,-0.012836651,,,,,,,,,,,,,,,,,,
181,-0.009766928,,,,,,,,,,,,,,,,,,
182,-0.011137991,,,,,,,,,,,,,,,,,,
183,-0.004652474,,,,,,,,,,,,,,,,,,
184,-0.010452615,,,,,,,,,,,,,,,,,,
185,0.008398434,,,,,,,,,,,,,,,,,,
186,0.004625956,,,,,,,,,,,,,,,,,,
187,-0.007743508,,,,,,,,,,,,,,,,,,
188,0.029763573,,,,,,,,,,,,,,,,,,
189,0.019914527,,,,,,,,,,,,,,,,,,
190,-0.011753514,,,,,,,,,,,,,,,,,,
191,0.008298778,,,,,,,,,,,,,,,,,,
192,-0.004011604,,,,,,,,,,,,,,,,,,
193,0.003603344,,,,,,,,,,,,,,,,,,
194,-0.008433423,,,,,,,,,,,,,,,,,,
195,-0.00042649,,,,,,,,,,,,,,,,,,
196,-0.0011109,,,,,,,,,,,,,,,,,,
197,-0.014530269,,,,,,,,,,,,,,,,,,
198,0.00973973,,,,,,,,,,,,,,,,,,
199,0.010269412,,,,,,,,,,,,,,,,,,
200,0.002364842,,,,,,,,,,,,,,,,,,
201,0.000247973,,,,,,,,,,,,,,,,,,
202,0.013848423,,,,,,,,,,,,,,,,,,
203,-0.002681407,,,,,,,,,,,,,,,,,,
204,0.003194717,,,,,,,,,,,,,,,,,,
205,-0.004603328,,,,,,,,,,,,,,,,,,
